age,fsr
283,0.840331206
282.5,0.843808868
282,0.847302248
281.5,0.850801678
281,0.854295589
280.5,0.857770644
280,0.861211922
279.5,0.864603119
279,0.867926801
278.5,0.871164681
278,0.874298035
277.5,0.87730827
277,0.880177621
276.5,0.882889836
276,0.885430738
275.5,0.887788658
275,0.889954725
274.5,0.891922988
274,0.893690377
273.5,0.895256476
273,0.896623145
272.5,0.897794009
272,0.89877392
271.5,0.899568474
271,0.900183608
270.5,0.90062529
270,0.900899339
269.5,0.901011332
269,0.900966571
268.5,0.900770097
268,0.90042671
267.5,0.899941007
267,0.89931739
266.5,0.898560066
266,0.897673023
265.5,0.896659975
265,0.895524288
264.5,0.894268892
264,0.892896165
263.5,0.891407811
263,0.889804747
262.5,0.888087025
262,0.886253782
261.5,0.884303223
261,0.882232635
260.5,0.880038425
260,0.877716213
259.5,0.875260952
259,0.872667109
258.5,0.869928865
258,0.867040338
257.5,0.863995808
257,0.860789937
256.5,0.857417998
256,0.853876091
255.5,0.850161344
255,0.846272138
254.5,0.842208329
254,0.83797148
253.5,0.833565047
253,0.828994522
252.5,0.82426753
252,0.819393873
251.5,0.814385539
251,0.809256652
250.5,0.804023352
250,0.798703569
249.5,0.793316728
249,0.787883435
248.5,0.78242517
248,0.776963983
247.5,0.771522183
247,0.766122016
246.5,0.76078535
246,0.755533382
245.5,0.750386387
245,0.745363505
244.5,0.740482544
244,0.735759799
243.5,0.731209897
243,0.726845687
242.5,0.722678176
242,0.718716523
241.5,0.714968057
241,0.711438322
240.5,0.708131131
240,0.705048639
239.5,0.702191425
239,0.699558589
238.5,0.697147862
238,0.694955713
237.5,0.692977454
237,0.691207326
236.5,0.689638584
236,0.688263611
235.5,0.687074068
235,0.686061093
234.5,0.685215515
234,0.684528073
233.5,0.68398964
233,0.68359146
232.5,0.683325382
232,0.683184104
231.5,0.683161373
231,0.683252119
230.5,0.683452514
230,0.683759977
229.5,0.684173148
229,0.684691835
228.5,0.685316957
228,0.686050486
227.5,0.686895344
227,0.687855232
226.5,0.688934385
226,0.690137288
225.5,0.691468375
225,0.692931712
224.5,0.694530635
224,0.696267349
223.5,0.698142487
223,0.700154717
222.5,0.702300499
222,0.70457403
221.5,0.706967328
221,0.70947038
220.5,0.712071347
220,0.714756821
219.5,0.717512149
219,0.720321794
218.5,0.723169704
218,0.72603963
217.5,0.728915363
217,0.731780923
216.5,0.734620725
216,0.737419738
215.5,0.740163629
215,0.742838893
214.5,0.745432969
214,0.747934336
